location_id,stadium,city,state,latitude,longitude
1,Los Angeles Memorial Coliseum,Los Angeles,CA ,34.0139923,34.0139923
2,Aviva Stadium,Dublin ,,,
3,,Jacksonville,AL ,33.8137163,33.8137163
4,Aggie Memorial Stadium,Las Cruces,NM ,,
5,Snapdragon Stadium,San Diego,CA ,33.6918332,33.6918332
6,Joe Aillet Stadium,Ruston,LA ,32.532013649999996,32.532013649999996
7,FirstBank Stadium,Nashville,TN ,,
8,Rice-Eccles Stadium,Salt Lake City,UT ,40.75985365,40.75985365
9,Allegacy Federal Credit Union Stadium,Winston-Salem,NC ,,
10,FBC Mortgage Stadium,Orlando,FL ,,
11,,Atlanta,GA ,,
12,Waldo Stadium,Kalamazoo,MI ,42.28576205,42.28576205
13,Pratt & Whitney Stadium,East Hartford,CT ,,
14,Huntington Bank Stadium,Minneapolis,MN ,44.97653965,44.97653965
15,Memorial Stadium/Faurot Field,Columbia,MO ,,
16,Chapman Stadium,Tulsa,OK ,33.79430875,33.79430875
17,Protective Stadium,Birmingham,AL ,,
18,Mountain America Stadium,Tempe,AZ ,42.7296385,42.7296385
19,Rynearson Stadium,Ypsilanti,MI ,,
20,Spartan Stadium,East Lansing,MI ,37.31969865,37.31969865
21,Hard Rock Stadium,Miami Gardens,FL ,,
22,Mercedes-Benz Stadium,Atlanta,GA ,33.755396250000004,33.755396250000004
23,David Booth Kansas Memorial Stadium,Lawrence,KS ,,
24,,Honolulu,HI ,21.304547,21.304547
25,Sanford Stadium,Athens,GA ,,
26,Michigan Stadium,Ann Arbor,MI ,42.2658652,42.2658652
27,"Memorial Stadium (Bloomington, IN)",Bloomington,IN ,,
28,Bryant-Denny Stadium,Tuscaloosa,AL ,33.2076889,33.2076889
29,Beaver Stadium,University Park,PA ,,
30,Husky Stadium,Seattle,WA ,47.650373599999995,47.650373599999995
31,DKR-Texas Memorial Stadium,Austin,TX ,,
32,Nissan Stadium,Nashville,TN ,35.5099882,35.5099882
33,Notre Dame Stadium,Notre Dame,IN ,,
34,Autzen Stadium,Eugene,OR ,44.058217799999994,44.058217799999994
35,Bill Snyder Family Stadium,Manhattan,KS ,,
36,Amon G. Carter Stadium,Fort Worth,TX ,32.70978705,32.70978705
37,Camp Randall Stadium,Madison,WI ,,
38,"Memorial Stadium (Norman, OK)",Norman,OK ,35.2056786,35.2056786
39,Bank of America Stadium,Charlotte,NC ,,
40,Vaught-Hemingway Stadium,Oxford,MS ,34.361780100000004,34.361780100000004
41,Kyle Field,College Station,TX ,,
42,Yulman Stadium,New Orleans,LA ,29.94465095,29.94465095
43,Kinnick Stadium,Iowa City,IA ,,
44,Kroger Field,Lexington,KY ,38.02273485,38.02273485
45,,Lynchburg,VA ,,
46,Ross-Ade Stadium,West Lafayette,IN ,40.4344107,40.4344107
47,Gerald J. Ford Stadium,Dallas,TX ,,
48,"Alumni Stadium (Chestnut Hill, MA)",Chestnut Hill,MA ,,
49,Peden Stadium,Athens,OH ,,
50,,Little Rock,AR ,34.7465071,34.7465071
51,Falcon Stadium,USAF Academy,CO ,,
52,Jack Trice Stadium,Ames,IA ,42.01384885,42.01384885
53,Lincoln Financial Field,Philadelphia,PA ,,
54,Jordan-Hare Stadium,Auburn,AL ,32.602161550000005,32.602161550000005
55,SECU Stadium,College Park,MD ,,
56,Houchens Industries-L.T. Smith Stadium,Bowling Green,KY ,36.98479165,36.98479165
57,Acrisure Stadium,Pittsburgh,PA ,,
58,Nippert Stadium,Cincinnati,OH ,39.131121300000004,39.131121300000004
59,Kidd Brewer Stadium,Boone,NC ,,
60,Davis Wade Stadium,Starkville,MS ,33.4565166,33.4565166
61,DATCU Stadium,Denton,TX ,,
62,JMA Wireless Dome,Syracuse,NY ,,
63,Allegiant Stadium,Las Vegas,NV ,,
64,Jerry Richardson Stadium,Charlotte,NC ,35.3105015,35.3105015
65,FAU Stadium,Boca Raton,FL ,,
66,,Statesboro,GA ,32.4490141,32.4490141
67,,Harrisonburg,VA ,,
68,Joan C. Edwards Stadium,Huntington,WV ,38.4248685,38.4248685
69,Riccardo Silva Stadium,Miami,FL ,,
70,,Monroe,LA ,32.5093109,32.5093109
71,,Fort Collins,CO ,,
72,McLane Stadium,Waco,TX ,31.5584194,31.5584194
73,TDECU Stadium,Houston,TX ,,
74,Boone Pickens Stadium,Stillwater,OK ,36.1256929,36.1256929
75,Simmons Bank Liberty Stadium,Memphis,TN ,,
76,M. M. Roberts Stadium,Hattiesburg,MS ,30.5319402,30.5319402
77,Veterans Memorial Stadium (AL),Troy,AL ,,
78,"Memorial Stadium (Champaign, IL)",Champaign,IL ,40.09931775,40.09931775
79,Lane Stadium,Blacksburg,VA ,,
80,Cajun Field,Lafayette,LA ,30.21587275,30.21587275
81,Jonah Field at War Memorial Stadium,Laramie,WY ,,
82,Sun Bowl,El Paso,TX ,40.0868064,40.0868064
83,Arizona Stadium,Tucson,AZ ,,
84,LaVell Edwards Stadium,Provo,UT ,40.257528300000004,40.257528300000004
85,Rose Bowl,Pasadena,CA ,,
86,,Orlando,FL ,28.5421109,28.5421109
87,CEFCU Stadium,San Jose,CA ,,
88,SHI Stadium,Piscataway,NJ ,40.513503650000004,40.513503650000004
89,Wallace Wade Stadium,Durham,NC ,,
