name,mascot,logo_url,conference_name,conference_record,overall_record,team_id
San José State,Spartans,,Mountain,6-2,7-6,23
Navy,Midshipmen,,American,4-4,5-7,2426
UTEP,Miners,,CUSA,2-6,3-9,2638
Massachusetts,Minutemen,,FBS,0-0,3-9,113
Ohio,Bobcats,,MAC,6-2,10-3,195
Florida International,Panthers,,CUSA,1-7,4-8,2229
Hawai'i,Rainbow Warriors,,Mountain,3-5,5-8,62
Florida,Gators,,SEC,3-5,5-7,57
Elon,Phoenix,,CAA,6-2,6-5,2210
Kent State,Golden Flashes,,MAC,0-8,1-11,2309
Rhode Island,Rams,,CAA,4-4,6-5,227
St. Francis (PA),Red Flash,,NEC,4-3,4-6,2598
NC State,Wolfpack,,ACC,6-2,9-3,152
Nebraska,Cornhuskers,,Big,,,158
South Dakota,Coyotes,,MVFC,7-1,10-3,233
Arkansas-Pine Bluff,Golden Lions,,SWAC,,,2029
North Carolina A&T,Aggies,,CAA,0-8,1-10,2448
Southern Utah,Thunderbirds,,UAC,4-2,6-5,253
Howard,Bison,,MEAC,4-1,6-6,47
Central Michigan,Chippewas,,MAC,,,2117
Miami (OH),RedHawks,,MAC,7-1,11-3,193
Louisville,Cardinals,,ACC,7-1,10-3,97
Missouri State,Bears,,MVFC,3-5,4-7,2623
Stanford,Cardinal,,Pac-12,2-7,3-9,24
UT Martin,Skyhawks,,Big,5-1,8-3,2630
East Carolina,Pirates,,American,1-7,2-10,151
Ohio State,Buckeyes,,Big,8-1,11-1,194
Middle Tennessee,Blue Raiders,,CUSA,3-5,4-8,2393
Nevada,Wolf Pack,,Mountain,2-6,2-10,2440
West Virginia,Mountaineers,,Big,6-3,8-4,277
Boise State,Broncos,,Mountain,6-2,8-6,68
Rice,Owls,,American,4-4,6-6,242
Virginia,Cavaliers,,ACC,2-6,3-9,258
Tennessee State,Tigers,,Big,2-4,6-5,2634
Portland State,Vikings,,Big,4-4,5-6,2502
Southeast Missouri State,Redhawks,,Big,3-3,4-7,2546
Colorado,Buffaloes,,Pac-12,1-8,4-8,38
Buffalo,Bulls,,MAC,3-5,3-9,2084
Arkansas State,Red Wolves,,Sun,,,2032
North Carolina,Tar Heels,,ACC,4-4,8-4,153
Mercer,Bears,,Southern,6-2,9-4,2382
New Mexico,Lobos,,Mountain,2-6,4-8,167
South Alabama,Jaguars,,Sun,,,6
Utah State,Aggies,,Mountain,4-4,6-7,328
Ball State,Cardinals,,MAC,,,2050
Bowling Green,Falcons,,MAC,5-3,7-5,189
Fresno State,Bulldogs,,Mountain,4-4,9-4,278
Louisiana Tech,Bulldogs,,CUSA,2-6,3-9,2348
Northern Illinois,Huskies,,MAC,,,2459
Long Island University,Sharks,,NEC,4-3,4-7,2341
Western Carolina,Catamounts,,Southern,5-3,7-4,2717
Robert Morris,Colonials,,Big,2-4,4-7,2523
East Tennessee State,Buccaneers,,Southern,2-6,3-8,2193
Northern Iowa,Panthers,,MVFC,5-3,6-5,2460
Akron,Zips,,MAC,1-7,2-10,2006
Towson,Tigers,,CAA,4-4,5-6,119
South Florida,Bulls,,American,4-4,7-6,58
Wofford,Terriers,,Southern,2-6,2-9,2747
Eastern Kentucky,Colonels,,UAC,4-2,5-6,2198
Gardner-Webb,Runnin' Bulldogs,,Big,5-1,7-5,2241
SE Louisiana,Lions,,Southland,3-4,3-8,2545
California,Golden Bears,,Pac-12,4-5,6-7,25
Colgate,Raiders,,Patriot,4-2,6-5,2142
Bryant,Bulldogs,,Big,4-2,6-5,2803
South Carolina State,Bulldogs,,MEAC,3-2,5-6,2569
Monmouth,Hawks,,CAA,3-5,4-7,2405
The Citadel,Bulldogs,,Southern,0-8,0-11,2643
Bucknell,Bison,,Patriot,1-5,4-7,2083
UAlbany,Great Danes,,CAA,7-1,11-4,399
Maine,Black Bears,,CAA,1-7,2-9,311
Army,Black Knights,,FBS,0-0,6-6,349
Alabama A&M,Bulldogs,,SWAC,3-5,5-6,2010
Washington State,Cougars,,Pac-12,2-7,5-7,265
Texas State,Bobcats,,Sun,,,326
UTSA,Roadrunners,,American,7-1,9-4,2636
Central Arkansas,Bears,,UAC,4-2,7-4,2110
Bethune-Cookman,Wildcats,,SWAC,2-6,3-8,2065
Alcorn State,Braves,,SWAC,,,2016
Stephen F. Austin,Lumberjacks,,UAC,0-6,3-8,2617
Toledo,Rockets,,MAC,,,2649
Old Dominion,Monarchs,,Sun,5-3,6-7,295
Northwestern State,Demons,,Southland,0-7,0-6,2466
Texas Tech,Red Raiders,,Big,5-4,7-6,2641
Western Illinois,Leathernecks,,MVFC,0-8,0-11,2710
Incarnate Word,Cardinals,,Southland,6-1,8-2,2916
Northern Arizona,Lumberjacks,,Big,5-3,5-6,2464
Sam Houston,Bearkats,,CUSA,2-6,3-9,2534
Coastal Carolina,Chanticleers,,Sun,5-3,8-5,324
Idaho State,Bengals,,Big,3-5,3-8,304
LSU,Tigers,,SEC,,,99
Oregon State,Beavers,,Pac-12,5-4,8-4,204
Northwestern,Wildcats,,Big,,,77
Clemson,Tigers,,ACC,4-4,8-4,228
