team_id,league,name,mascot,primary_color,secondary_color,accent_color,logo_url,conference_name,conference_wins,conference_losses,conference_ties,overall_wins,overall_losses,overall_ties
cle,MLB,Cleveland,Guardians,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/cle.png,AL Central,0.0,0.0,0.0,0.0,0.0,0.0
col,MLB,Colorado,Rockies,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/col.png,NL West,0.0,0.0,0.0,0.0,0.0,0.0
mil,MLB,Milwaukee,Brewers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/mil.png,NL Central,0.0,0.0,0.0,0.0,0.0,0.0
det,MLB,Detroit,Tigers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/det.png,AL Central,0.0,0.0,0.0,0.0,0.0,0.0
tb,MLB,Tampa Bay,Rays,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/tb.png,AL East,0.0,0.0,0.0,0.0,0.0,0.0
cin,MLB,Cincinnati,Reds,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/cin.png,NL Central,0.0,0.0,0.0,0.0,0.0,0.0
laa,MLB,Los Angeles,Angels,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/laa.png,AL West,0.0,0.0,0.0,0.0,0.0,0.0
hou,MLB,Houston,Astros,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/hou.png,AL West,0.0,0.0,0.0,0.0,0.0,0.0
phi,MLB,Philadelphia,Phillies,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/phi.png,NL East,0.0,0.0,0.0,0.0,0.0,0.0
nym,MLB,New York,Mets,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/nym.png,NL East,0.0,0.0,0.0,0.0,0.0,0.0
ari,MLB,Arizona,Diamondbacks,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/ari.png,NL West,0.0,0.0,0.0,0.0,0.0,0.0
chc,MLB,Chicago,Cubs,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/chc.png,NL Central,0.0,0.0,0.0,0.0,0.0,0.0
tex,MLB,Texas,Rangers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/tex.png,AL West,0.0,0.0,0.0,0.0,0.0,0.0
wsh,MLB,Washington,Nationals,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/wsh.png,NL East,0.0,0.0,0.0,0.0,0.0,0.0
stl,MLB,St. Louis,Cardinals,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/stl.png,NL Central,0.0,0.0,0.0,0.0,0.0,0.0
sf,MLB,San Francisco,Giants,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/sf.png,NL West,0.0,0.0,0.0,0.0,0.0,0.0
tor,MLB,Toronto,Blue Jays,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/tor.png,AL East,0.0,0.0,0.0,0.0,0.0,0.0
kc,MLB,Kansas City,Royals,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/kc.png,AL Central,0.0,0.0,0.0,0.0,0.0,0.0
nyy,MLB,New York,Yankees,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/nyy.png,AL East,0.0,0.0,0.0,0.0,0.0,0.0
atl,MLB,Atlanta,Braves,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/atl.png,NL East,0.0,0.0,0.0,0.0,0.0,0.0
sd,MLB,San Diego,Padres,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/sd.png,NL West,0.0,0.0,0.0,0.0,0.0,0.0
mia,MLB,Miami,Marlins,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/mia.png,NL East,0.0,0.0,0.0,0.0,0.0,0.0
oak,MLB,Oakland,Athletics,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/oak.png,AL West,0.0,0.0,0.0,0.0,0.0,0.0
bal,MLB,Baltimore,Orioles,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/bal.png,AL East,0.0,0.0,0.0,0.0,0.0,0.0
bos,MLB,Boston,Red Sox,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/bos.png,AL East,0.0,0.0,0.0,0.0,0.0,0.0
pit,MLB,Pittsburgh,Pirates,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/pit.png,NL Central,0.0,0.0,0.0,0.0,0.0,0.0
sea,MLB,Seattle,Mariners,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/sea.png,AL West,0.0,0.0,0.0,0.0,0.0,0.0
lad,MLB,Los Angeles,Dodgers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/lad.png,NL West,0.0,0.0,0.0,0.0,0.0,0.0
chw,MLB,Chicago,White Sox,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/chw.png,AL Central,0.0,0.0,0.0,0.0,0.0,0.0
min,MLB,Minnesota,Twins,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/min.png,AL Central,0.0,0.0,0.0,0.0,0.0,0.0
,MLB,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
